92,09/28/2023 13:39:52.000 GMT+02:00,,POINT Z (11.28988560 46.38278901 272.938),46.382789012,11.289885602,676082.246,5139127.454,272.938,228.680,1.800,4,0.584,0.0,0.010,0.010
93,09/28/2023 13:39:54.000 GMT+02:00,,POINT Z (11.28987992 46.38278338 272.899),46.382783380,11.289879925,676081.828,5139126.816,272.899,228.641,1.800,4,0.519,0.0,0.010,0.010
94,09/28/2023 13:39:57.000 GMT+02:00,,POINT Z (11.28986627 46.38277969 272.893),46.382779688,11.289866267,676080.789,5139126.375,272.893,228.635,1.800,4,0.506,0.0,0.010,0.010
95,09/28/2023 13:40:00.000 GMT+02:00,,POINT Z (11.28985445 46.38278483 272.898),46.382784830,11.289854448,676079.864,5139126.920,272.898,228.640,1.800,4,0.723,0.0,0.010,0.010
96,09/28/2023 13:40:03.000 GMT+02:00,,POINT Z (11.28985068 46.38279221 272.917),46.382792212,11.289850680,676079.551,5139127.732,272.917,228.659,1.800,4,0.142,0.0,0.010,0.010
97,09/28/2023 13:40:05.000 GMT+02:00,,POINT Z (11.28985089 46.38279893 272.901),46.382798927,11.289850893,676079.545,5139128.479,272.901,228.643,1.800,4,0.560,0.0,0.010,0.010
98,09/28/2023 13:40:07.000 GMT+02:00,,POINT Z (11.28985155 46.38280520 272.857),46.382805200,11.289851553,676079.576,5139129.177,272.857,228.599,1.800,4,0.433,0.0,0.010,0.010
99,09/28/2023 13:40:11.000 GMT+02:00,,POINT Z (11.28985384 46.38282533 272.881),46.382825333,11.289853840,676079.687,5139131.419,272.881,228.623,1.800,4,0.626,0.0,0.010,0.011
100,09/28/2023 13:40:15.000 GMT+02:00,,POINT Z (11.28985211 46.38285582 272.823),46.382855822,11.289852112,676079.456,5139134.803,272.823,228.565,1.800,4,0.972,0.0,0.010,0.012
101,09/28/2023 13:40:18.000 GMT+02:00,,POINT Z (11.28985252 46.38287947 272.901),46.382879472,11.289852523,676079.412,5139137.432,272.901,228.643,1.800,4,0.959,0.0,0.010,0.011
102,09/28/2023 13:40:21.000 GMT+02:00,,POINT Z (11.28985333 46.38290374 272.851),46.382903738,11.289853328,676079.395,5139140.130,272.851,228.593,1.800,4,0.821,0.0,0.010,0.011
103,09/28/2023 13:40:24.000 GMT+02:00,,POINT Z (11.28985209 46.38292712 272.860),46.382927118,11.289852090,676079.225,5139142.725,272.860,228.602,1.800,4,0.865,0.0,0.010,0.011
104,09/28/2023 13:40:27.000 GMT+02:00,,POINT Z (11.28985156 46.38294981 272.897),46.382949807,11.289851560,676079.111,5139145.245,272.897,228.639,1.800,4,0.977,0.0,0.010,0.011
105,09/28/2023 13:40:30.000 GMT+02:00,,POINT Z (11.28985087 46.38297270 272.902),46.382972702,11.289850872,676078.985,5139147.787,272.902,228.644,1.800,4,0.820,0.0,0.010,0.011
106,09/28/2023 13:40:33.000 GMT+02:00,,POINT Z (11.28985091 46.38299435 272.826),46.382994347,11.289850910,676078.918,5139150.192,272.826,228.568,1.800,4,0.774,0.0,0.010,0.011
107,09/28/2023 13:40:35.000 GMT+02:00,,POINT Z (11.28985146 46.38300818 272.878),46.383008185,11.289851462,676078.916,5139151.731,272.878,228.620,1.800,4,0.775,0.0,0.010,0.010
108,09/28/2023 13:40:38.000 GMT+02:00,,POINT Z (11.28985221 46.38301584 272.862),46.383015842,11.289852207,676078.949,5139152.583,272.862,228.604,1.800,4,0.398,0.0,0.010,0.010
109,09/28/2023 13:40:41.000 GMT+02:00,,POINT Z (11.28985971 46.38302205 272.857),46.383022053,11.289859712,676079.506,5139153.290,272.857,228.599,1.800,4,0.615,0.0,0.010,0.010
